timestamp,attack_type,risk_level,flow_packets_s,flow_bytes_s,init_fwd_win_bytes,note
2026-03-20 09:12:00,DDoS,High,1800,250000,900,HTTP 요청 급증
2026-03-20 14:35:00,Normal,Low,120,5000,2048,정상 트래픽
2026-03-21 10:05:00,Suspicious,Medium,950,120000,850,비정상 세션 의심
2026-03-21 16:48:00,DDoS,Critical,2100,310000,700,외부망 패킷 폭주
2026-03-22 11:20:00,Normal,Low,140,6200,1980,내부 업무 트래픽
2026-03-22 18:02:00,Suspicious,High,1300,210000,780,비정상 연결 증가
2026-03-23 08:55:00,DDoS,Critical,2500,330000,650,대량 요청 반복
2026-03-23 13:10:00,Normal,Low,160,7100,2050,정상 웹 접속
2026-03-24 09:40:00,Suspicious,Medium,870,98000,990,일시적 트래픽 이상
2026-03-24 17:25:00,DDoS,High,1750,240000,920,의심 요청 다수
